Message size,#sockets,#threads,Total latency,Total throughput,Total packet rate
32 KB,9,1,0.74508 milliseconds,2.04877 Gbps,62523.4 packets/second
64 KB,9,1,0.14092 milliseconds,2.0265 Gbps,30921.9 packets/second
128 KB,9,1,0.0661819 milliseconds,1.95233 Gbps,14895.1 packets/second
256 KB,9,1,3.56816 milliseconds,1.93047 Gbps,7364.17 packets/second
512 KB,9,1,4.14609 milliseconds,1.90401 Gbps,3631.62 packets/second
1 MB,9,1,4.59144 milliseconds,1.89934 Gbps,1811.35 packets/second
1 Bytes,10,1,0.0273538 milliseconds,1.13476 Mbps,1.13476e+06 packets/second
2 Bytes,10,1,0.0304367 milliseconds,1.92556 Mbps,962781 packets/second
4 Bytes,10,1,0.0302962 milliseconds,3.85319 Mbps,963298 packets/second
8 Bytes,10,1,0.0306659 milliseconds,7.68347 Mbps,960434 packets/second
16 Bytes,10,1,0.0302299 milliseconds,15.4102 Mbps,963140 packets/second
32 Bytes,10,1,0.030862 milliseconds,30.8779 Mbps,964933 packets/second
64 Bytes,10,1,0.0323294 milliseconds,60.769 Mbps,949515 packets/second
128 Bytes,10,1,0.0352088 milliseconds,117.752 Mbps,919941 packets/second
256 Bytes,10,1,0.0409324 milliseconds,227.824 Mbps,889936 packets/second
512 Bytes,10,1,0.0454865 milliseconds,463.874 Mbps,906003 packets/second
1 KB,10,1,0.0573098 milliseconds,595.486 Mbps,581529 packets/second
2 KB,10,1,0.0190377 milliseconds,1.99898 Gbps,976064 packets/second
4 KB,10,1,0.00746172 milliseconds,2.09993 Gbps,512678 packets/second
8 KB,10,1,0.0551732 milliseconds,2.04044 Gbps,249078 packets/second
16 KB,10,1,0.528703 milliseconds,2.01376 Gbps,122910 packets/second
32 KB,10,1,0.0656784 milliseconds,1.96208 Gbps,59878.1 packets/second
64 KB,10,1,0.647948 milliseconds,1.91694 Gbps,29250.1 packets/second
128 KB,10,1,0.904635 milliseconds,2.01588 Gbps,15379.9 packets/second
256 KB,10,1,0.729372 milliseconds,1.90626 Gbps,7271.81 packets/second
512 KB,10,1,2.74222 milliseconds,1.89577 Gbps,3615.89 packets/second
1 MB,10,1,3.99073 milliseconds,1.88944 Gbps,1801.91 packets/second
